customer_id,ProductName,Cluster
3940,AirPods Pro,3
3631,iPhone 15,0
8199,iPad Pro,4
6804,MacBook Pro,1
7047,MacBook Pro,1
9082,iPhone 15,0
8392,MacBook Pro,1
1338,iPhone 15,0
7375,AirPods Pro,3
9927,iPad Pro,4
8345,iPad Pro,4
9050,MacBook Pro,1
2841,iPad Pro,4
5619,iPhone 15,0
3662,Apple Watch,2
2550,iPhone 15,0
7109,Apple Watch,2
5637,MacBook Pro,1
7348,MacBook Pro,1
2417,iPhone 15,0
7517,iPhone 15,0
8327,Apple Watch,2
7685,AirPods Pro,3
7871,MacBook Pro,1
3914,iPhone 15,0
9105,MacBook Pro,1
2047,MacBook Pro,1
7377,Apple Watch,2
1934,MacBook Pro,1
9599,AirPods Pro,3
9852,Apple Watch,2
2163,iPad Pro,4
8195,iPad Pro,4
9704,Apple Watch,2
3803,MacBook Pro,1
4807,Apple Watch,2
2680,iPad Pro,4
6286,Apple Watch,2
1699,iPad Pro,4
7750,Apple Watch,2
8079,Apple Watch,2
2615,Apple Watch,2
5209,Apple Watch,2
3075,AirPods Pro,3
1690,iPad Pro,4
4205,Apple Watch,2
5185,Apple Watch,2
6872,AirPods Pro,3
5977,iPad Pro,4
8041,iPhone 15,0
9070,AirPods Pro,3
5224,Apple Watch,2
4790,iPhone 15,0
7403,AirPods Pro,3
8719,Apple Watch,2
6419,Apple Watch,2
2271,Apple Watch,2
8906,iPad Pro,4
4600,AirPods Pro,3
6242,MacBook Pro,1
6062,AirPods Pro,3
6881,AirPods Pro,3
9042,iPad Pro,4
6284,Apple Watch,2
9664,iPad Pro,4
8420,Apple Watch,2
1925,MacBook Pro,1
8087,iPhone 15,0
9683,Apple Watch,2
5182,Apple Watch,2
2967,iPhone 15,0
8579,iPhone 15,0
1375,AirPods Pro,3
7349,MacBook Pro,1
7757,iPad Pro,4
3934,MacBook Pro,1
5279,AirPods Pro,3
9398,Apple Watch,2
4683,iPad Pro,4
6897,AirPods Pro,3
1354,iPhone 15,0
6143,AirPods Pro,3
9089,iPhone 15,0
5926,iPad Pro,4
4980,MacBook Pro,1
5135,Apple Watch,2
1421,MacBook Pro,1
8564,iPhone 15,0
2330,iPhone 15,0
9750,MacBook Pro,1
8518,iPhone 15,0
1033,iPad Pro,4
9272,AirPods Pro,3
5716,iPad Pro,4
1527,iPhone 15,0
7555,Apple Watch,2
7031,MacBook Pro,1
8169,MacBook Pro,1
5468,AirPods Pro,3
9541,MacBook Pro,1
3088,Apple Watch,2
1567,Apple Watch,2
4948,AirPods Pro,3
7077,AirPods Pro,3
1642,AirPods Pro,3
9216,Apple Watch,2
6948,AirPods Pro,3
2167,Apple Watch,2
2060,iPad Pro,4
2405,Apple Watch,2
1327,Apple Watch,2
2238,Apple Watch,2
4556,AirPods Pro,3
9863,iPhone 15,0
8605,iPad Pro,4
5350,MacBook Pro,1
4918,iPad Pro,4
8541,Apple Watch,2
1875,iPad Pro,4
6969,Apple Watch,2
1702,Apple Watch,2
2756,AirPods Pro,3
1575,iPhone 15,0
9600,iPhone 15,0
8693,iPhone 15,0
6782,Apple Watch,2
2808,Apple Watch,2
9210,iPad Pro,4
9617,MacBook Pro,1
2036,Apple Watch,2
7526,iPad Pro,4
8809,iPhone 15,0
5322,iPad Pro,4
2865,MacBook Pro,1
5888,iPhone 15,0
9848,Apple Watch,2
7917,iPhone 15,0
5977,MacBook Pro,1
4642,AirPods Pro,3
5607,Apple Watch,2
1041,iPad Pro,4
7215,iPad Pro,4
3280,Apple Watch,2
2438,AirPods Pro,3
8099,MacBook Pro,1
9749,Apple Watch,2
5674,AirPods Pro,3
9791,MacBook Pro,1
5498,iPhone 15,0
2524,Apple Watch,2
8389,iPhone 15,0
3531,AirPods Pro,3
2045,MacBook Pro,1
7917,Apple Watch,2
